WARNING 2025-07-09 05:12:00,514 log 9320 6205059072 Bad Request: /api/auth/users/
WARNING 2025-07-09 05:12:00,515 basehttp 9320 6205059072 "POST /api/auth/users/ HTTP/1.1" 400 114
INFO 2025-07-09 05:12:02,029 basehttp 9320 6205059072 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
INFO 2025-07-09 05:12:02,033 basehttp 9320 6205059072 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
INFO 2025-07-09 05:13:17,456 autoreload 9320 8654151424 /Users/shishirkafle/Desktop/BrahmabyteLab/PRS/backend/Backend_PRS/backend/authentication/serializers.py changed, reloading.
INFO 2025-07-09 05:13:17,832 autoreload 9511 8654151424 Watching for file changes with StatReloader
INFO 2025-07-09 05:16:30,385 autoreload 9511 8654151424 /Users/shishirkafle/Desktop/BrahmabyteLab/PRS/backend/Backend_PRS/backend/authentication/serializers.py changed, reloading.
INFO 2025-07-09 05:16:30,759 autoreload 9645 8654151424 Watching for file changes with StatReloader
INFO 2025-07-09 05:17:02,686 autoreload 9645 8654151424 /Users/shishirkafle/Desktop/BrahmabyteLab/PRS/backend/Backend_PRS/backend/authentication/views.py changed, reloading.
INFO 2025-07-09 05:17:03,014 autoreload 9676 8654151424 Watching for file changes with StatReloader
INFO 2025-07-09 05:17:13,467 autoreload 9676 8654151424 /Users/shishirkafle/Desktop/BrahmabyteLab/PRS/backend/Backend_PRS/backend/authentication/urls.py changed, reloading.
INFO 2025-07-09 05:17:13,776 autoreload 9697 8654151424 Watching for file changes with StatReloader
WARNING 2025-07-09 05:17:48,961 log 9697 6202241024 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:17:48,961 log 9697 6219067392 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:17:48,963 basehttp 9697 6219067392 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 05:17:48,963 basehttp 9697 6202241024 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 05:17:48,969 log 9697 6202241024 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:17:48,971 log 9697 6219067392 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:17:48,975 basehttp 9697 6219067392 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 05:17:48,975 basehttp 9697 6202241024 "GET /api/dashboard/commission HTTP/1.1" 404 7703
INFO 2025-07-09 05:17:48,981 basehttp 9697 6235893760 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
INFO 2025-07-09 05:17:48,986 basehttp 9697 6235893760 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
WARNING 2025-07-09 05:17:50,052 log 9697 6219067392 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:17:50,054 log 9697 6202241024 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:17:50,055 basehttp 9697 6219067392 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 05:17:50,055 basehttp 9697 6202241024 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 05:17:50,070 log 9697 6202241024 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:17:50,072 log 9697 6219067392 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:17:50,073 basehttp 9697 6202241024 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 05:17:50,073 basehttp 9697 6219067392 "GET /api/dashboard/main HTTP/1.1" 404 7685
INFO 2025-07-09 05:17:50,671 basehttp 9697 6202241024 "GET /api/organizations/ HTTP/1.1" 200 143
WARNING 2025-07-09 05:17:52,112 log 9697 6219067392 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:17:52,116 basehttp 9697 6219067392 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 05:17:52,131 log 9697 6219067392 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:17:52,131 basehttp 9697 6219067392 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 05:17:52,153 log 9697 6219067392 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:17:52,154 basehttp 9697 6219067392 "GET /api/dashboard/commission HTTP/1.1" 404 7703
WARNING 2025-07-09 05:17:52,166 log 9697 6219067392 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:17:52,166 basehttp 9697 6219067392 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 05:18:00,598 log 9697 6202241024 Bad Request: /api/auth/users/
WARNING 2025-07-09 05:18:00,599 basehttp 9697 6202241024 "POST /api/auth/users/ HTTP/1.1" 400 40
INFO 2025-07-09 05:18:02,089 basehttp 9697 6202241024 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
INFO 2025-07-09 05:18:02,093 basehttp 9697 6202241024 "GET /api/v1/auth/users/?role_name=Org+Admin HTTP/1.1" 200 52
WARNING 2025-07-09 05:21:32,392 log 9697 6219067392 Not Found: /api/dashboard/commission
WARNING 2025-07-09 05:21:32,394 log 9697 6202241024 Not Found: /api/dashboard/main
WARNING 2025-07-09 05:21:32,394 basehttp 9697 6202241024 "GET /api/dashboard/main HTTP/1.1" 404 7685
WARNING 2025-07-09 05:21:32,394 basehttp 9697 6219067392 "GET /api/dashboard/commission HTTP/1.1" 404 7703
